t,r,y,u,e,e_pp,k_e,estado_id,idx_lut,Gc,Gct,mu1,lambda2,xI,xF,d_term,estado_nome
77.38,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,2.8747710709298742e-11,-0.0,Inconsistente -
77.39,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,4.004947639552577e-11,-0.0,Inconsistente -
77.4,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-5.0032268577841297e-11,0.0,Inconsistente -
77.41,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-6.370141121591243e-12,0.0,Inconsistente -
77.42,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,8.26547754931476e-11,-0.0,Inconsistente -
77.43,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-5.4466443019237496e-11,0.0,Inconsistente -
77.44,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-1.1002218652586486e-10,0.0,Inconsistente -
77.45,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,7.372534208797629e-11,-0.0,Inconsistente -
77.46000000000001,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,1.3175424849025695e-10,-0.0,Inconsistente -
77.47,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-3.586287706703856e-11,0.0,Inconsistente -
77.48,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,1.6235613302844814e-11,-0.0,Inconsistente -
77.49,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,9.267113195040964e-11,-0.0,Inconsistente -
77.5,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-1.912016303913326e-11,0.0,Inconsistente -
77.51,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,3.836641067476912e-12,-0.0,Inconsistente -
77.52,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,6.42153109693256e-11,-0.0,Inconsistente -
77.53,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-3.593330705159162e-11,0.0,Inconsistente -
77.54,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-3.355677920310292e-11,0.0,Inconsistente -
77.55,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,7.555525293251053e-11,-0.0,Inconsistente -
77.56,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-5.3905315694377736e-12,0.0,Inconsistente -
77.57000000000001,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-1.1948320569253287e-10,0.0,Inconsistente -
77.58,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,1.677330218317446e-11,-0.0,Inconsistente -
77.59,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,1.6357470117243172e-10,-0.0,Inconsistente -
77.60000000000001,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-1.0484092171415975e-11,0.0,Inconsistente -
77.61,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-1.7791480276780215e-11,0.0,Inconsistente -
77.62,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,1.0657489540629389e-10,-0.0,Inconsistente -
77.63,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,7.82099069826257e-13,-0.0,Inconsistente -
77.64,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-1.7376907885826736e-11,0.0,Inconsistente -
77.65,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,6.79856239519119e-11,-0.0,Inconsistente -
77.66,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-1.146201400169292e-11,0.0,Inconsistente -
